user_id,activity_date,feature_used,genre,time_spent_minutes
137,2025-01-16,Browse,,6
130,2025-02-20,Search,,9
126,2024-08-09,Browse,,9
277,2025-03-08,Rate,,5
89,2025-04-27,Watch,Drama,79
137,2025-06-06,Search,,9
23,2024-09-06,Browse,,5
352,2025-05-07,Rate,,10
333,2025-01-18,Browse,,9
303,2024-07-19,Search,,1
450,2024-10-30,Watch,Action,110
26,2024-12-04,Watch,Horror,52
405,2024-09-05,Search,,10
118,2024-10-16,Browse,,7
232,2025-06-10,Rate,,1
490,2025-02-01,Watch,Sci-Fi,28
246,2025-02-06,Watch,Romance,82
211,2025-02-18,Browse,,5
378,2025-06-14,Browse,,4
350,2025-05-10,Search,,9
331,2024-11-29,Watch,Documentary,32
477,2024-12-20,Rate,,4
129,2024-09-18,Rate,,2
480,2025-06-27,Rate,,8
258,2024-09-08,Watch,Sci-Fi,104
418,2025-07-15,Rate,,9
32,2024-11-22,Browse,,5
129,2025-02-18,Browse,,3
300,2025-05-27,Search,,6
264,2025-07-06,Search,,5
298,2025-05-27,Watch,Sci-Fi,74
4,2025-05-14,Rate,,5
168,2024-12-30,Search,,2
334,2024-12-25,Search,,2
397,2024-08-08,Watch,Documentary,71
456,2024-11-20,Rate,,7
393,2025-06-17,Rate,,10
374,2025-05-13,Browse,,7
34,2025-02-28,Browse,,2
197,2025-01-29,Browse,,8
33,2024-12-25,Browse,,2
339,2025-05-20,Rate,,9
346,2025-05-05,Rate,,5
495,2025-01-07,Watch,Drama,46
206,2025-02-11,Rate,,4
451,2025-01-04,Search,,7
464,2024-11-02,Search,,5
217,2024-11-09,Search,,1
93,2025-06-16,Browse,,8
278,2024-09-20,Rate,,6
434,2024-09-08,Search,,6
247,2025-01-24,Rate,,7
201,2025-04-17,Rate,,4
219,2024-11-25,Watch,Romance,23
444,2025-01-31,Watch,Comedy,86
347,2024-11-24,Search,,5
165,2025-04-30,Rate,,2
184,2025-06-28,Browse,,8
313,2025-04-02,Browse,,5
353,2024-11-02,Watch,Documentary,13
307,2025-02-12,Rate,,9
105,2025-03-19,Search,,8
380,2024-11-25,Rate,,3
405,2025-04-27,Watch,Thriller,33
249,2025-03-02,Watch,Drama,52
304,2024-12-27,Rate,,1
499,2024-12-05,Search,,4
116,2025-05-22,Watch,Sci-Fi,62
363,2025-06-18,Search,,3
474,2024-11-17,Rate,,3
66,2025-05-18,Browse,,4
358,2025-04-19,Rate,,6
492,2025-06-08,Watch,Comedy,59
69,2025-03-12,Browse,,10
200,2024-11-05,Rate,,2
258,2024-09-24,Browse,,2
61,2025-01-27,Browse,,8
227,2024-09-05,Rate,,2
197,2024-11-12,Search,,2
353,2025-03-12,Browse,,10
498,2025-07-05,Search,,9
26,2024-09-01,Rate,,3
334,2024-08-18,Rate,,9
385,2025-05-28,Rate,,2
48,2025-04-12,Watch,Thriller,76
119,2024-12-30,Browse,,5
19,2024-11-23,Search,,7
329,2024-07-26,Watch,Romance,47
339,2024-09-07,Rate,,5
325,2025-07-14,Search,,6
331,2025-06-12,Browse,,1
436,2024-07-19,Browse,,9
149,2025-06-24,Search,,1
154,2024-08-01,Browse,,5
473,2024-08-02,Search,,9
254,2024-09-15,Rate,,8
343,2025-05-24,Browse,,7
232,2024-11-13,Browse,,4
385,2024-12-08,Rate,,7
287,2025-03-22,Watch,Sci-Fi,48
331,2024-10-14,Search,,10
423,2025-03-01,Search,,5
418,2025-03-25,Watch,Romance,100
455,2025-06-23,Search,,8
105,2024-10-15,Search,,3
494,2024-08-14,Rate,,5
430,2024-10-16,Watch,Comedy,81
326,2024-09-05,Browse,,5
147,2025-03-23,Watch,Thriller,8
267,2025-06-22,Browse,,3
408,2025-06-02,Rate,,4
183,2025-06-24,Watch,Thriller,16
162,2025-06-03,Rate,,9
220,2024-08-30,Browse,,5
365,2025-05-23,Search,,10
484,2024-11-20,Rate,,2
413,2025-06-19,Search,,1
405,2024-11-17,Browse,,3
346,2024-08-12,Rate,,1
19,2024-10-05,Watch,Drama,53
81,2024-07-19,Browse,,7
386,2024-11-19,Browse,,3
464,2024-11-26,Watch,Thriller,116
78,2025-01-19,Browse,,7
79,2024-07-30,Browse,,5
113,2025-02-04,Rate,,7
410,2024-10-04,Search,,10
488,2025-03-19,Search,,1
218,2025-03-19,Rate,,6
134,2024-12-29,Browse,,7
452,2025-02-17,Rate,,8
28,2025-04-29,Search,,8
498,2024-09-25,Watch,Horror,11
35,2025-04-07,Watch,Documentary,96
451,2024-08-24,Browse,,8
398,2024-11-04,Browse,,4
466,2024-11-11,Search,,6
397,2024-11-04,Rate,,9
131,2025-06-12,Search,,8
48,2025-02-03,Watch,Horror,87
395,2025-02-05,Watch,Documentary,114
478,2025-03-13,Rate,,10
55,2024-12-12,Watch,Horror,112
421,2024-12-13,Watch,Horror,107
169,2025-03-01,Watch,Documentary,75
302,2025-03-14,Watch,Action,22
121,2025-04-21,Search,,8
266,2025-01-23,Browse,,1
258,2024-09-10,Rate,,2
295,2025-01-27,Browse,,8
41,2025-06-12,Browse,,7
425,2025-04-11,Search,,2
5,2025-07-15,Watch,Drama,38
463,2024-10-11,Rate,,2
404,2024-12-28,Browse,,1
223,2025-01-07,Browse,,7
265,2025-07-01,Browse,,10
20,2025-03-21,Watch,Romance,120
228,2025-05-19,Watch,Action,117
33,2025-01-04,Browse,,7
434,2025-04-22,Search,,10
43,2024-11-07,Watch,Thriller,106
441,2025-03-23,Rate,,5
89,2024-12-24,Search,,8
408,2024-09-13,Search,,8
333,2025-05-03,Rate,,3
462,2024-07-19,Search,,2
371,2024-09-05,Browse,,8
3,2024-12-06,Watch,Thriller,55
351,2025-06-10,Watch,Documentary,118
209,2025-02-02,Search,,10
66,2025-04-29,Rate,,7
302,2025-04-16,Search,,4
199,2024-09-20,Search,,1
49,2025-07-08,Search,,5
73,2024-12-07,Watch,Sci-Fi,96
261,2024-11-05,Rate,,7
118,2024-10-06,Watch,Thriller,95
304,2024-08-13,Rate,,3
258,2025-02-06,Watch,Comedy,75
10,2024-10-09,Search,,2
302,2025-05-25,Rate,,9
279,2025-05-28,Browse,,4
187,2024-09-22,Watch,Romance,99
179,2025-04-17,Search,,7
128,2025-02-13,Rate,,5
229,2025-05-26,Search,,5
170,2025-05-30,Watch,Horror,73
58,2024-08-27,Search,,4
291,2025-04-29,Watch,Horror,24
102,2024-09-06,Search,,9
266,2024-09-28,Search,,4
317,2025-06-06,Search,,8
164,2024-08-10,Browse,,2
398,2024-09-04,Search,,9
242,2024-10-02,Watch,Documentary,45
147,2025-03-09,Browse,,1
409,2024-09-10,Browse,,5
249,2025-06-23,Browse,,6
99,2025-06-08,Search,,5
58,2025-03-24,Search,,7
428,2024-07-19,Watch,Horror,9
408,2025-03-17,Search,,5
299,2024-11-12,Watch,Sci-Fi,91
54,2025-03-16,Watch,Horror,115
